Surname Unicode,Surname Ascii,Gender,Origin,Meaning(s),Tag(s)
Snyder,snyder,Male,English,Clothing Tailor,#Surname
Sokol,sokol,Male,Albanian,Falcon,#Nature|#Surname
Solis,solis,Neutral,Spanish,From The Village Of Soler|Spain,#Surname
Solomon,solomon,Male,Hebrew,Peaceful One,#Biblical|#Surname
Sorley,sorley,Male,English,Summer Traveller|Viking,#Surname
Sosa,sosa,Neutral,Portuguese,Salt Water,#Surname|#Water
Soto,soto,Male,Spanish,Forest Grove,#Surname
Sparks,sparks,Neutral,English,Full Of Life,#Surname
Speck,speck,Neutral,American,Pork Seller,#Occupational|#Surname
Spence,spence,Male,English,Butler|Steward,#Surname
Spencer,spencer,Neutral,English,Butler|Steward,#Occupational|#Surname
Spicer,spicer,Male,American,One Who Works With Spices,#Surname
Sprague,sprague,Male,English,Alert|Lively,#Surname
Spurgeon,spurgeon,Neutral,Scandinavian,Little Twig,#Surname
Stacey,stacey,Female,Greek,Resurrection,#Surname
Stacy,stacy,Neutral,English,Resurrection,#Surname
Stafford,stafford,Male,English,Ford By The Landing,#Surname
Stanley,stanley,Male,English,From The Stony Field,#Surname
Stanton,stanton,Male,English,From The Stony Town,#Surname
Starbuck,starbuck,Neutral,English,From The River Where Stakes Were Got,#FictionalCharacter|#Surname|#Water
Stark,stark,Neutral,English,Firm|Unwielding,#FictionalCharacter|#Surname
Starr,starr,Female,English,Celestial Spheroid Of Plasm,#FictionalCharacter|#Nature|#Surname
Steele,steele,Neutral,English,Steel Worker,#Occupational|#Surname
Stein,stein,Neutral,German,Family Of Stephen,#Surname
Stephenson,stephenson,Neutral,English,Son Of Stephen,#Surname
Sterling,sterling,Male,English,Starling|Little Star,#Surname
Stewart,stewart,Male,Scottish,Steward Of The Estate Or Castle,#Surname
Stillman,stillman,Male,English,Fisherman,#Surname
Stockton,stockton,Male,English,From The Monastery Town,#Surname
Stokes,stokes,Neutral,English,Tree Stumps,#Surname
Stone,stone,Male,English,Dweller By The Stone Or Rocks,#Nature|#Surname
Stratton,stratton,Neutral,English,From The Town On The Roman Road,#Surname
Strickland,strickland,Neutral,English,From The Cow Pasture,#Surname
Strong,strong,Neutral,English,Hardy|Full Of Strength,#Surname
Struan,struan,Male,Scottish,Small Stream,#Place|#Surname
Stuart,stuart,Male,Scottish,Steward Of The Estate Or Castle,#FictionalCharacter|#Surname
Sullivan,sullivan,Male,Irish,Dark-eyed,#Surname
Sully,sully,Neutral,English,From The South Field,#Surname
Summers,summers,Neutral,English,Mule Or Horse Driver,#Surname|#Water
Sutton,sutton,Neutral,English,From The South Town,#Surname
Sverre,sverre,Male,Scandinavian,To Swing Around,#Royal|#Surname
Swain,swain,Male,English,Boy|Servant,#Surname
Swann,swann,Neutral,English,Swan Or Form Of Swain,#Surname
Swanson,swanson,Neutral,English,Son Of Swan Or Herdsman,#Occupational|#Surname
Sweeney,sweeney,Neutral,Scottish,Young Warrior From Another Land,#Surname
Synclair,synclair,Male,English,From St. Clair In France,#Surname
Synott,synott,Neutral,Irish,Honorable|Without Sin,#Surname
Tacy,tacy,Neutral,English,Fruitful,#Surname
Tandy,tandy,Neutral,English,Manly,#Surname
Tanner,tanner,Neutral,English,Leather Worker,#Occupational|#Surname
Tapia,tapia,Neutral,Spanish,Mud Wall,#Surname
Tarmon,tarmon,Male,Irish,Church Land,#Surname
Tasman,tasman,Male,English,Person From Tasmania,#Place|#Surname
Tate,tate,Neutral,English,Cheerful,#Surname
Tatiana,tatiana,Female,Russian,Roman Surname|Unknown Meaning,#Surname
Taylor,taylor,Neutral,English,One Who Tailors Clothes,#Celebrity|#Occupational|#Surname
Tchaikovsky,tchaikovsky,Male,Russian,Lapwing Bird,#Surname
Tenley,tenley,Female,English,Dennis' Field,#Surname
Terrel,terrel,Male,English,Stubborn,#Surname
Terris,terris,Neutral,English,Son Of Thierry,#Surname
Terry,terry,Neutral,English,Diminutive Form Of Terence Or Theresa,#Surname
Tesla,tesla,Female,Slavic,From Thessaly|A Region In Greece,#Science|#Surname
Thatcher,thatcher,Male,English,Roof Maker,#Occupational|#Surname
Thayer,thayer,Male,English,Tailor,#Surname
Thomas,thomas,Male,Greek,A Twin,#Biblical|#Surname
Thompson,thompson,Male,English,Son Of Thomas,#Surname
Thorley,thorley,Neutral,English,Thorn Clearing,#Surname
Thorn,thorn,Male,German,Spike On A Plant,#Surname
Thornton,thornton,Male,English,From The Thorny Town,#Surname
Tilden,tilden,Male,English,From Tila's Valley,#Surname
Tobert,tobert,Neutral,English,Bright Valley,#Surname
Todd,todd,Male,English,Fox,#Nature|#Surname
Tolla,tolla,Female,Spanish,Marsh,#Surname
Tolliver,tolliver,Neutral,English,Metal Worker,#Occupational|#Surname
Tomai,tomai,Neutral,Greek,Form Of Thomas,#Surname
Topper,topper,Neutral,English,One Who Attached The Wool To The Distaff For Spinning,#Surname
Torrell,torrell,Neutral,English,Dweller At The Small Tower,#Surname
Torres,torres,Neutral,Spanish,Lives Near A Tower,#Surname
Tosca,tosca,Female,Italian,From Tuscany|Italy,#FictionalCharacter|#Surname
Toseland,toseland,Neutral,English,Toli's Grove,#FictionalCharacter|#Place|#Surname
Townsend,townsend,Male,English,From The Dnd Of The Town,#Surname
Tracen,tracen,Neutral,American,From Tracy|France,#Surname
Tracy,tracy,Neutral,English,From Tracy|France,#Surname
Tran,tran,Neutral,Vietnamese,Old|Ancient,#Surname
Travis,travis,Male,English,From The Crossing Or Tollgate,#Surname
Trefor,trefor,Male,Welsh,From The Big Village,#Surname
Trejo,trejo,Neutral,Spanish,From Trexo|Spain,#Surname
Tremain,tremain,Male,Welsh,From The Town Of The Stone,#Surname
Trent,trent,Male,English,Thirty,#Surname
Trevelian,trevelian,Male,Welsh,From The Homestead Of Elian,#Surname
Trevet,trevet,Male,English,Tripod,#Surname
Trevino,trevino,Neutral,Spanish,Lives On A Boundary,#Surname
Trilby,trilby,Neutral,English,From Thorolf's Farm,#FictionalCharacter|#Surname
Triska,triska,Female,Slavic,Sliver,#Surname
Troian,troian,Neutral,Slavic,Father Of Triplet Sons,#Surname
Trory,trory,Male,Irish,Unknown,#Surname
Truett,truett,Neutral,English,Dry Resinous Wood And River Bend,#Surname
Truman,truman,Male,English,Faithful Man,#Surname
Trumble,trumble,Male,English,Strong Bold,#Surname
Trump,trump,Male,English,Trumpet Or Drum,#Surname
Tucker,tucker,Neutral,English,Softener Of Cloth,#Occupational|#Surname
Tudor,tudor,Male,Welsh,People King,#Surname
Turner,turner,Male,English,Lathe Worker,#Occupational|#Surname
Tyler,tyler,Neutral,English,Tile Maker,#Occupational|#Surname
Tyrell,tyrell,Male,English,Stubborn,#Surname
Udell,udell,Male,English,From The Yew Valley,#Surname
Underwood,underwood,Neutral,English,Below The Forest Trees,#Surname
Vail,vail,Neutral,English,Dweller In The Valley,#Surname
Valdez,valdez,Neutral,Spanish,Son Of Valdo/Waldo,#Surname
Valencia,valencia,Female,Spanish,Valor|Health,#Place|#Surname
Valentine,valentine,Neutral,English,Vigorous|Strong,#Surname
Valenzuela,valenzuela,Female,Spanish,Bravery|Strength,#Surname
Vance,vance,Male,English,From The Marsh,#Surname
Vander,vander,Male,Greek,Good Man Or Family Of,#Surname
Varden,varden,Male,English,From Verdun,#Surname
Vargas,vargas,Neutral,Spanish,From The Pasture,#Surname
Variel,variel,Female,Spanish,Changeable|Different,#Surname
Varro,varro,Male,Latin,Durable|Strong,#Surname
Vasquez,vasquez,Male,Spanish,Son Of Vasco,#Surname
Vassar,vassar,Male,English,Vassal|Servant,#Surname
Vaughan,vaughan,Male,Welsh,Small,#Surname
Vaughn,vaughn,Neutral,English,Small,#Celebrity|#Surname
Vazquez,vazquez,Neutral,Spanish,Son Of Vasco,#Surname
Vega,vega,Female,Arabic,Stooping Eagle,#Surname
Vela,vela,Female,Spanish,Vigilant|Watchful,#Surname
Velazquez,velazquez,Neutral,Spanish,Son Of Velasco,#Surname
Velez,velez,Neutral,Spanish,Vigilant People,#Surname
Verlin,verlin,Male,Irish,Farthing Coin,#Surname
Verne,verne,Male,English,Dweller Among The Ferns,#Surname
Vernon,vernon,Male,English,Alder Tree,#Surname
Villa,villa,Neutral,Spanish,Country Estate|Town,#Surname
Villanueva,villanueva,Neutral,Spanish,From The New Town,#Surname
Villareal,villareal,Neutral,Spanish,From The Royal Estate,#Surname
Villegas,villegas,Neutral,Spanish,From The Village,#Surname
Vincent,vincent,Male,Latin,Victorious,#Surname
Vinton,vinton,Neutral,English,Person From Winton,#Science|#Surname
Vionnet,vionnet,Neutral,French,Unknown,#Brand|#Surname
Vix,vix,Neutral,German,Fix,#Surname
Volta,volta,Neutral,Italian,Turn|Rotation,#Surname
Von,von,Neutral,German,Son Of,#Surname
Vondra,vondra,Female,American,Combination Of Vonda And Sandra,#Surname
Voshell,voshell,Neutral,Dutch,Fox,#Surname
Voss,voss,Neutral,German,Fox,#Surname
Wade,wade,Male,English,Traveler By The Ford,#Surname
Wagner,wagner,Male,English,Wagon Maker,#Surname
Waite,waite,Male,English,Watchman|Guard,#Surname
Walden,walden,Male,English,From The Valley Of The Britons,#Surname
Walker,walker,Male,English,Fuller Of Cloth,#Occupational|#Surname
Wallace,wallace,Neutral,English,Foreigner|Stranger,#Surname
Walsh,walsh,Female,English,Welsh/Foreigner,#Surname
Walter,walter,Male,English,Army Ruler,#Sports|#Surname
Walworth,walworth,Male,English,From The Homestead Of The Britons,#Surname
Ward,ward,Male,English,Guardian,#Surname
Ware,ware,Neutral,English,Dam,#Surname
Warner,warner,Male,English,Army Guard,#Surname
Warren,warren,Male,English,Guard,#Celebrity|#Surname
Warrick,warrick,Male,English,From The Town By The River,#Surname|#Water
Warwick,warwick,Male,English,From The Town By The Weir,#Surname
Washington,washington,Male,English,From The Town Of Wassa's Peopl,#Celebrity|#Place|#Politician|#Surname
Watkins,watkins,Neutral,English,Family Of Watt/Walter,#Surname
Watson,watson,Male,English,Son Of Walter,#Surname
Watts,watts,Neutral,English,Family Of Walter/Watt,#Place|#Surname
Waverly,waverly,Neutral,English,From The Brushwood Field,#Surname
Wayne,wayne,Male,English,Wagon Driver,#Celebrity|#Sports|#Surname|#Water
Weatherly,weatherly,Neutral,English,From The Sheep Meadow,#Surname
Weaver,weaver,Neutral,English,One Who Weaves Cloth,#Occupational|#Surname
Webb,webb,Male,English,Weaver,#Surname
Weber,weber,Neutral,German,Weaver,#Occupational|#Surname
Webster,webster,Male,English,Weaver,#FictionalCharacter|#Occupational|#Surname
Welch,welch,Neutral,English,Welsh/Foreigner,#Surname
Weldon,weldon,Male,English,From The Hill With A Well,#Surname
Wells,wells,Male,English,From The Well Or Spring.,#Surname
Wesley,wesley,Male,English,From The West Field,#Nature|#Surname
West,west,Male,English,From The West,#Celebrity|#Surname
Westry,westry,Neutral,English,Family From The West,#Surname
Wheatley,wheatley,Male,English,From The Wheat Field,#Surname
Wheaton,wheaton,Male,English,From The Wheat Town,#Surname
Wheeler,wheeler,Male,English,Wheel Maker,#Occupational|#Surname
Whistler,whistler,Male,English,Piper,#Occupational|#Surname
Whitaker,whitaker,Neutral,English,From The White/wheat Field,#Surname
Whitby,whitby,Male,English,From The White Village,#Surname
Whitcomb,whitcomb,Male,English,From The White Valley,#Surname
White,white,Neutral,English,Fair Haired Or Complected,#Surname
Whitfield,whitfield,Male,English,From The White Field,#Surname
Whitley,whitley,Neutral,English,From The White Field,#Surname
Whitney,whitney,Neutral,English,From The White Island,#Celebrity|#Place|#Surname
Whittaker,whittaker,Male,English,From The White Or Wheat Field,#Surname
Wickham,wickham,Neutral,English,Settlement,#Place|#Surname
Wilcox,wilcox,Neutral,English,Son Of William,#Surname
Wiley,wiley,Neutral,English,Willow Woods,#Surname
Wilford,wilford,Male,English,From The Ford By The Willows,#Surname
Wilhelm,wilhelm,Male,German,Will|Desire And Helmet|Protection,#Royal|#Surname
Wilkins,wilkins,Neutral,English,Family Of William,#Surname
Wilkinson,wilkinson,Male,English,Son Or Family Of William,#Surname
Williams,williams,Male,English,Son Or Servant Of William,#Surname
Willis,willis,Male,English,Descendant Or Servant Of Will,#Celebrity|#Surname
Willoughby,willoughby,Male,English,From The Farm By The Willows,#Surname
Wilson,wilson,Male,English,Son Of William,#Surname
Wilton,wilton,Male,English,From The Farm By The Spring Or By Willows,#Surname
Winchell,winchell,Male,English,From The Corner,#Surname
Winfield,winfield,Male,English,From Wina's Field,#Surname
Winka,winka,Female,Scandinavian,People Of Chile,#Surname
Winslow,winslow,Male,English,From Wina's Burial Mound,#Surname
Winston,winston,Male,English,From Wina's Town,#Politician|#Surname
Winthrop,winthrop,Male,English,From Wymund's Farm,#Surname
Wise,wise,Neutral,English,Educated Person,#Surname
Wolcott,wolcott,Male,English,From The Foreigner's Cottage,#Surname
Wolfe,wolfe,Male,English,Wolf-Like,#Surname
Wood,wood,Male,American,From The Woods,#Nature|#Surname
Woodard,woodard,Neutral,English,Caretaker Of The Woods,#Surname
Woodrow,woodrow,Male,English,From The Lane In The Woods,#Surname
Woods,woods,Male,English,Of The Woods,#Surname
Woodward,woodward,Male,English,Forester|Wood-keeper,#Surname
Wright,wright,Male,English,Carpenter|Worker,#Surname
Wrigley,wrigley,Neutral,English,Clearing By The River Bend,#Brand|#Sports|#Surname|#Water
Wyatt,wyatt,Male,English,Son Of Guy,#Surname
Wycliff,wycliff,Male,English,From The Cliff By The Bend,#Surname
Wyeth,wyeth,Neutral,English,From Land By The Willow Tree,#Surname
Wyman,wyman,Male,English,Battle Protector,#Surname
Wyndham,wyndham,Male,English,From Wymond's Homestead,#Surname
Yates,yates,Neutral,English,Dweller By A Gate,#Surname
Yoder,yoder,Neutral,Dutch,Family Of Theodore,#Surname
York,york,Male,English,From The Town Of Eburos,#Place|#Surname
Young,young,Neutral,English,Son Of,#Surname
Zajac,zajac,Neutral,Polish,Rabbit,#Surname
Zale,zale,Neutral,Polish,Unknown,#Surname
Zamora,zamora,Female,Spanish,Wild Olives,#Surname
Zane,zane,Neutral,American,Unknown,#Surname
Zappa,zappa,Neutral,Italian,Occupational Surname,#Surname
Zavala,zavala,Neutral,Spanish,Fortress,#Surname
Zhang,zhang,Neutral,Chinese,Archer,#Surname
Ziven,ziven,Neutral,Polish,Vigorous|Alive,#Surname
Zuill,zuill,Neutral,Scottish,Born At Christmas,#Surname
Zuma,zuma,Neutral,Aztec,Lord Frowns In Anger,#Place|#Surname
Zuñiga,zuniga,Neutral,Spanish,From Estuniga|Spain,#Place|#Surname
Zuzela,zuzela,Female,Polish,Village In Poland,#Surname
